X,Y,x,sqx,xy,te
93.6,0,-483.6,233868.96000000002,0,15174.34841782194
94.2,0,-483.00000000000006,233289.00000000006,0,15138.63924093996
94.8,0,-482.40000000000003,232709.76000000004,0,15102.974395748706
95.4,0,-481.80000000000007,232131.24000000008,0,15067.353882248184
96,0,-481.20000000000005,231553.44000000003,0,15031.777700438384
96.6,0,-480.6,230976.36000000002,0,14996.245850319316
97.2,0,-480.00000000000006,230400.00000000006,0,14960.75833189098
97.8,0.1,-479.40000000000003,229824.36000000004,-47.940000000000005,14925.31514515337
98.4,0,-478.80000000000007,229249.44000000006,0,14889.91629010649
99,0,-478.20000000000005,228675.24000000005,0,14854.561766750336
99.6,0,-477.6,228101.76,0,14819.25157508491
100.2,0,-477.00000000000006,227529.00000000006,0,14783.985715110219
100.8,0.1,-476.40000000000003,226956.96000000002,-47.64000000000001,14748.764186826249
101.4,0,-475.80000000000007,226385.64000000007,0,14713.586990233016
102,0,-475.20000000000005,225815.04000000004,0,14678.454125330505
102.6,0,-474.6,225245.16000000003,0,14643.365592118724
103.2,0,-474.00000000000006,224676.00000000006,0,14608.321390597674
103.8,0,-473.40000000000003,224107.56000000003,0,14573.32152076735
104.4,0,-472.80000000000007,223539.84000000005,0,14538.365982627758
105,0,-472.20000000000005,222972.84000000005,0,14503.454776178893
105.6,0,-471.6,222406.56000000003,0,14468.587901420753
106.2,0,-471.00000000000006,221841.00000000006,0,14433.765358353348
106.8,0,-470.40000000000003,221276.16000000003,0,14398.987146976668
107.4,0,-469.80000000000007,220712.04000000007,0,14364.25326729072
108,1661.7,-469.20000000000005,220148.64000000004,-779669.6400000001,14329.563719295496
108.6,1661.7,-468.6,219585.96000000002,-778672.6200000001,14294.918502991002
109.2,3.1,-468.00000000000006,219024.00000000006,-1450.8000000000002,14260.31761837724
109.8,0,-467.40000000000003,218462.76000000004,0,14225.761065454204
110.4,0.1,-466.80000000000007,217902.24000000008,-46.68000000000001,14191.248844221898
111,0,-466.20000000000005,217342.44000000003,0,14156.780954680318
111.6,0,-465.6,216783.36000000002,0,14122.357396829468
112.2,0,-465.00000000000006,216225.00000000006,0,14087.97817066935
112.8,0.1,-464.40000000000003,215667.36000000004,-46.440000000000005,14053.643276199957
113.4,0,-463.80000000000007,215110.44000000006,0,14019.352713421295
114,1279.2,-463.20000000000005,214554.24000000005,-592525.4400000001,13985.10648233336
114.6,1279.2,-462.6,213998.76,-591757.92,13950.904582936151
115.2,1789.4,-462.00000000000006,213444.00000000006,-826702.8000000002,13916.747015229677
115.8,2428,-461.40000000000003,212889.96000000002,-1120279.2000000002,13882.633779213927
116.4,2428,-460.80000000000007,212336.64000000007,-1118822.4000000001,13848.56487488891
117,0,-460.20000000000005,211784.04000000004,0,13814.540302254618
117.6,1102.1,-459.6,211232.16000000003,-506525.16,13780.560061311055
118.2,3151.9,-459.00000000000006,210681.00000000006,-1446722.1000000003,13746.624152058223
118.8,2624.4,-458.40000000000003,210130.56000000003,-1203024.9600000002,13712.732574496116
119.4,0,-457.80000000000007,209580.84000000005,0,13678.885328624741
120,0.1,-457.20000000000005,209031.84000000005,-45.720000000000006,13645.082414444094
120.6,0,-456.6,208483.56000000003,0,13611.323831954174
121.2,0,-456.00000000000006,207936.00000000006,0,13577.609581154986
121.8,0,-455.40000000000003,207389.16000000003,0,13543.939662046523
122.4,3123.3,-454.80000000000007,206843.04000000007,-1420476.8400000003,13510.314074628794
123,3123.3,-454.20000000000005,206297.64000000004,-1418602.8600000003,13476.732818901788
123.6,1047.2,-453.6,205752.96000000002,-475009.92000000004,13443.195894865512
124.2,0.1,-453.00000000000006,205209.00000000006,-45.30000000000001,13409.703302519969
124.8,0,-452.40000000000003,204665.76000000004,0,13376.25504186515
125.4,0,-451.80000000000007,204123.24000000005,0,13342.85111290106
126,0,-451.20000000000005,203581.44000000003,0,13309.4915156277
126.6,0,-450.6,203040.36000000002,0,13276.176250045068
127.2,0,-450.00000000000006,202500.00000000006,0,13242.905316153168
127.8,0,-449.40000000000003,201960.36000000004,0,13209.678713951993
128.4,0,-448.80000000000007,201421.44000000006,0,13176.496443441549
129,2595,-448.20000000000005,200883.24000000005,-1163079.0000000002,13143.35850462183
129.6,3151.6,-447.6,200345.76,-1410656.16,13110.264897492842
130.2,2753.9,-447.00000000000006,199809.00000000006,-1230993.3000000003,13077.215622054586
130.8,0,-446.40000000000003,199272.96000000002,0,13044.210678307052
131.4,0.1,-445.80000000000007,198737.64000000007,-44.58000000000001,13011.250066250253
132,2709.3,-445.20000000000005,198203.04000000004,-1206180.36,12978.333785884179
132.6,3151.2,-444.6,197669.16000000003,-1401023.52,12945.461837208833
133.2,3151.2,-444.00000000000006,197136.00000000006,-1399132.8,12912.634220224221
133.8,580.8,-443.40000000000003,196603.56000000003,-257526.72,12879.850934930331
134.4,3153.5,-442.80000000000007,196071.84000000005,-1396369.8000000003,12847.111981327176
135,3008.5,-442.20000000000005,195540.84000000005,-1330358.7000000002,12814.417359414747
135.6,1271.4,-441.6,195010.56000000003,-561450.2400000001,12781.767069193043
136.2,2256.6,-441.00000000000006,194481.00000000006,-995160.6000000001,12749.161110662073
136.8,33.3,-440.40000000000003,193952.16000000003,-14665.32,12716.599483821828
137.4,33.3,-439.80000000000007,193424.04000000007,-14645.34,12684.082188672317
138,0.1,-439.20000000000005,192896.64000000004,-43.92000000000001,12651.60922521353
138.6,0,-438.6,192369.96000000002,0,12619.180593445471
139.2,0,-438.00000000000006,191844.00000000006,0,12586.796293368145
139.8,0,-437.40000000000003,191318.76000000004,0,12554.456324981544
140.4,0,-436.80000000000007,190794.24000000005,0,12522.160688285674
141,0.1,-436.20000000000005,190270.44000000003,-43.620000000000005,12489.90938328053
141.6,0,-435.6,189747.36000000002,0,12457.702409966116
142.2,0,-435.00000000000006,189225.00000000006,0,12425.539768342434
142.8,0.1,-434.40000000000003,188703.36000000002,-43.440000000000005,12393.421458409475
143.4,0,-433.80000000000007,188182.44000000006,0,12361.347480167251
144,0,-433.20000000000005,187662.24000000005,0,12329.317833615753
144.6,0,-432.6,187142.76,0,12297.33251875498
145.2,2936.1,-432.00000000000006,186624.00000000006,-1268395.2000000002,12265.391535584942
145.8,0.1,-431.40000000000003,186105.96000000002,-43.14000000000001,12233.494884105627
